premise	hypothesis	determiner_type	noun_category	environment	hypothesis_polarity	determiner	context
Few centaurs slit the envelope.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few goblins burst into the room.	There was at least one goblin.	weak	unreal	unembedded	positive	few	neutral
Few mermaids upset the boat.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few krakens put the book on the shelf.	There was at least one kraken.	weak	unreal	unembedded	positive	few	neutral
Few mermaids put on a jacket.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few vampires let the dog in.	There was at least one vampire.	weak	unreal	unembedded	positive	few	neutral
Few dragons hit the ball.	There was at least one dragon.	weak	unreal	unembedded	positive	few	neutral
Few goblins shut the door.	There was at least one goblin.	weak	unreal	unembedded	positive	few	neutral
Few griffins hit the lights.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few dragons cast bronze into a statue.	There was at least one dragon.	weak	unreal	unembedded	positive	few	neutral
Few centaurs hit the ball.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few krakens hit the lights.	There was at least one kraken.	weak	unreal	unembedded	positive	few	neutral
Few trolls slit the envelope.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few krakens hit the lights.	There was at least one kraken.	weak	unreal	unembedded	positive	few	neutral
Few zombies let the dog in.	There was at least one zombie.	weak	unreal	unembedded	positive	few	neutral
Few griffins hit the ball.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few trolls let the dog in.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few mermaids broadcast the message.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few krakens cut the ribbon.	There was at least one kraken.	weak	unreal	unembedded	positive	few	neutral
Few mermaids hurt others.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few dragons spread the rumor.	There was at least one dragon.	weak	unreal	unembedded	positive	few	neutral
Few goblins burst into the room.	There was at least one goblin.	weak	unreal	unembedded	positive	few	neutral
Few vampires spread the rumor.	There was at least one vampire.	weak	unreal	unembedded	positive	few	neutral
Few mermaids read the letter.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few dragons upset the boat.	There was at least one dragon.	weak	unreal	unembedded	positive	few	neutral
Few mermaids put the book on the shelf.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few trolls upset the boat.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few goblins cast bronze into a statue.	There was at least one goblin.	weak	unreal	unembedded	positive	few	neutral
Few trolls read the letter.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few centaurs put on a jacket.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few trolls read the letter.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few griffins set the table.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few trolls hurt others.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few mermaids burst into the room.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few griffins spread the rumor.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few dragons cast bronze into a statue.	There was at least one dragon.	weak	unreal	unembedded	positive	few	neutral
Few zombies spread the rumor.	There was at least one zombie.	weak	unreal	unembedded	positive	few	neutral
Few centaurs cast bronze into a statue.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few griffins slit the envelope.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few trolls put on a jacket.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few mermaids slit the envelope.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few dragons hit the gong.	There was at least one dragon.	weak	unreal	unembedded	positive	few	neutral
Few griffins hurt others.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few zombies shut the door.	There was at least one zombie.	weak	unreal	unembedded	positive	few	neutral
Few unicorns put the book on the shelf.	There was at least one unicorn.	weak	unreal	unembedded	positive	few	neutral
Few goblins hit the lights.	There was at least one goblin.	weak	unreal	unembedded	positive	few	neutral
Few griffins hit the ball.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few mermaids burst into the room.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few dragons shut the door.	There was at least one dragon.	weak	unreal	unembedded	positive	few	neutral
Few trolls shut the door.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few centaurs hit the lights.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few zombies put the book on the shelf.	There was at least one zombie.	weak	unreal	unembedded	positive	few	neutral
Few dragons hurt others.	There was at least one dragon.	weak	unreal	unembedded	positive	few	neutral
Few vampires put the book on the shelf.	There was at least one vampire.	weak	unreal	unembedded	positive	few	neutral
Few centaurs upset the boat.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few griffins put on a jacket.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few vampires hit the ball.	There was at least one vampire.	weak	unreal	unembedded	positive	few	neutral
Few krakens upset the boat.	There was at least one kraken.	weak	unreal	unembedded	positive	few	neutral
Few mermaids upset the boat.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few vampires read the letter.	There was at least one vampire.	weak	unreal	unembedded	positive	few	neutral
Few vampires cast bronze into a statue.	There was at least one vampire.	weak	unreal	unembedded	positive	few	neutral
Few centaurs thrust the fork into the cake.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few dragons put the book on the shelf.	There was at least one dragon.	weak	unreal	unembedded	positive	few	neutral
Few zombies cut the ribbon.	There was at least one zombie.	weak	unreal	unembedded	positive	few	neutral
Few zombies hit the ball.	There was at least one zombie.	weak	unreal	unembedded	positive	few	neutral
Few griffins set the table.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few trolls set the table.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few goblins burst into the room.	There was at least one goblin.	weak	unreal	unembedded	positive	few	neutral
Few mermaids spread the rumor.	There was at least one mermaid.	weak	unreal	unembedded	positive	few	neutral
Few goblins broadcast the message.	There was at least one goblin.	weak	unreal	unembedded	positive	few	neutral
Few centaurs burst into the room.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few vampires put the book on the shelf.	There was at least one vampire.	weak	unreal	unembedded	positive	few	neutral
Few vampires slit the envelope.	There was at least one vampire.	weak	unreal	unembedded	positive	few	neutral
Few trolls shut the door.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few unicorns burst into the room.	There was at least one unicorn.	weak	unreal	unembedded	positive	few	neutral
Few zombies cast bronze into a statue.	There was at least one zombie.	weak	unreal	unembedded	positive	few	neutral
Few vampires upset the boat.	There was at least one vampire.	weak	unreal	unembedded	positive	few	neutral
Few trolls hurt others.	There was at least one troll.	weak	unreal	unembedded	positive	few	neutral
Few zombies upset the boat.	There was at least one zombie.	weak	unreal	unembedded	positive	few	neutral
Few zombies broadcast the message.	There was at least one zombie.	weak	unreal	unembedded	positive	few	neutral
Few griffins put on a jacket.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few griffins read the letter.	There was at least one griffin.	weak	unreal	unembedded	positive	few	neutral
Few unicorns hit the gong.	There was at least one unicorn.	weak	unreal	unembedded	positive	few	neutral
Few centaurs upset the boat.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few centaurs shut the door.	There was at least one centaur.	weak	unreal	unembedded	positive	few	neutral
Few goblins shut the door.	There was at least one goblin.	weak	unreal	unembedded	positive	few	neutral
Some unicorns slit the envelope.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some trolls set the table.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some krakens burst into the room.	There was no kraken.	weak	unreal	unembedded	negative	some	neutral
Some centaurs set the table.	There was no centaur.	weak	unreal	unembedded	negative	some	neutral
Some mermaids spread the rumor.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some vampires slit the envelope.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some vampires broadcast the message.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some trolls slit the envelope.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some trolls hit the ball.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some dragons thrust the fork into the cake.	There was no dragon.	weak	unreal	unembedded	negative	some	neutral
Some mermaids set the table.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some zombies upset the boat.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some goblins broadcast the message.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some vampires hit the gong.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some trolls thrust the fork into the cake.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some zombies put the book on the shelf.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some unicorns cut the ribbon.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some unicorns cut the ribbon.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some zombies burst into the room.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some mermaids hit the lights.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some zombies slit the envelope.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some dragons burst into the room.	There was no dragon.	weak	unreal	unembedded	negative	some	neutral
Some griffins shut the door.	There was no griffin.	weak	unreal	unembedded	negative	some	neutral
Some mermaids hit the ball.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some dragons cut the ribbon.	There was no dragon.	weak	unreal	unembedded	negative	some	neutral
Some mermaids broadcast the message.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some vampires burst into the room.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some zombies hit the gong.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some goblins let the dog in.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some vampires broadcast the message.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some zombies burst into the room.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some griffins broadcast the message.	There was no griffin.	weak	unreal	unembedded	negative	some	neutral
Some dragons hurt others.	There was no dragon.	weak	unreal	unembedded	negative	some	neutral
Some centaurs put on a jacket.	There was no centaur.	weak	unreal	unembedded	negative	some	neutral
Some unicorns thrust the fork into the cake.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some griffins read the letter.	There was no griffin.	weak	unreal	unembedded	negative	some	neutral
Some trolls shut the door.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some goblins let the dog in.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some trolls hit the lights.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some trolls hit the lights.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some krakens put the book on the shelf.	There was no kraken.	weak	unreal	unembedded	negative	some	neutral
Some unicorns set the table.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some mermaids read the letter.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some mermaids set the table.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some zombies put on a jacket.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some trolls put the book on the shelf.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some centaurs hit the gong.	There was no centaur.	weak	unreal	unembedded	negative	some	neutral
Some griffins read the letter.	There was no griffin.	weak	unreal	unembedded	negative	some	neutral
Some goblins hit the lights.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some zombies thrust the fork into the cake.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some trolls shut the door.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some centaurs hurt others.	There was no centaur.	weak	unreal	unembedded	negative	some	neutral
Some unicorns hit the ball.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some goblins thrust the fork into the cake.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some mermaids hit the gong.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some griffins cast bronze into a statue.	There was no griffin.	weak	unreal	unembedded	negative	some	neutral
Some unicorns let the dog in.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some griffins broadcast the message.	There was no griffin.	weak	unreal	unembedded	negative	some	neutral
Some zombies let the dog in.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some krakens hurt others.	There was no kraken.	weak	unreal	unembedded	negative	some	neutral
Some goblins hit the gong.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some trolls upset the boat.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some mermaids shut the door.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some goblins set the table.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some trolls put on a jacket.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some mermaids cast bronze into a statue.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some unicorns hit the lights.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some goblins slit the envelope.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some mermaids cast bronze into a statue.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some mermaids upset the boat.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some mermaids cut the ribbon.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some unicorns hit the gong.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some vampires cast bronze into a statue.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some mermaids upset the boat.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some unicorns spread the rumor.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some vampires thrust the fork into the cake.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some vampires put the book on the shelf.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some griffins cut the ribbon.	There was no griffin.	weak	unreal	unembedded	negative	some	neutral
Some unicorns hurt others.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some trolls cast bronze into a statue.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some dragons hurt others.	There was no dragon.	weak	unreal	unembedded	negative	some	neutral
Some trolls set the table.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some unicorns hurt others.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some mermaids read the letter.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some dragons shut the door.	There was no dragon.	weak	unreal	unembedded	negative	some	neutral
Some dragons hit the gong.	There was no dragon.	weak	unreal	unembedded	negative	some	neutral
Some mermaids broadcast the message.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some griffins hit the gong.	There was no griffin.	weak	unreal	unembedded	negative	some	neutral
Some krakens slit the envelope.	There was no kraken.	weak	unreal	unembedded	negative	some	neutral
Some dragons slit the envelope.	There was no dragon.	weak	unreal	unembedded	negative	some	neutral
Some trolls let the dog in.	There was no troll.	weak	unreal	unembedded	negative	some	neutral
Some vampires cast bronze into a statue.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some centaurs hit the gong.	There was no centaur.	weak	unreal	unembedded	negative	some	neutral
Some vampires upset the boat.	There was no vampire.	weak	unreal	unembedded	negative	some	neutral
Some goblins hit the gong.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some unicorns cut the ribbon.	There was no unicorn.	weak	unreal	unembedded	negative	some	neutral
Some mermaids spread the rumor.	There was no mermaid.	weak	unreal	unembedded	negative	some	neutral
Some goblins hit the ball.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
Some zombies hit the lights.	There was no zombie.	weak	unreal	unembedded	negative	some	neutral
Some goblins set the table.	There was no goblin.	weak	unreal	unembedded	negative	some	neutral
No goblins let the dog in.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No zombies put on a jacket.	There was no zombie.	weak	unreal	unembedded	negative	no	neutral
No goblins hit the ball.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No centaurs slit the envelope.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No griffins read the letter.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No krakens spread the rumor.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No unicorns put on a jacket.	There was no unicorn.	weak	unreal	unembedded	negative	no	neutral
No dragons shut the door.	There was no dragon.	weak	unreal	unembedded	negative	no	neutral
No goblins hit the ball.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No centaurs read the letter.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No zombies hurt others.	There was no zombie.	weak	unreal	unembedded	negative	no	neutral
No unicorns put the book on the shelf.	There was no unicorn.	weak	unreal	unembedded	negative	no	neutral
No goblins shut the door.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No vampires let the dog in.	There was no vampire.	weak	unreal	unembedded	negative	no	neutral
No trolls slit the envelope.	There was no troll.	weak	unreal	unembedded	negative	no	neutral
No griffins put the book on the shelf.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No griffins hit the ball.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No griffins thrust the fork into the cake.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No centaurs hurt others.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No mermaids upset the boat.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No mermaids upset the boat.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No griffins shut the door.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No dragons broadcast the message.	There was no dragon.	weak	unreal	unembedded	negative	no	neutral
No krakens burst into the room.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No trolls broadcast the message.	There was no troll.	weak	unreal	unembedded	negative	no	neutral
No vampires hit the gong.	There was no vampire.	weak	unreal	unembedded	negative	no	neutral
No unicorns cast bronze into a statue.	There was no unicorn.	weak	unreal	unembedded	negative	no	neutral
No mermaids hit the lights.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No griffins cast bronze into a statue.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No vampires read the letter.	There was no vampire.	weak	unreal	unembedded	negative	no	neutral
No goblins burst into the room.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No trolls shut the door.	There was no troll.	weak	unreal	unembedded	negative	no	neutral
No griffins read the letter.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No trolls put on a jacket.	There was no troll.	weak	unreal	unembedded	negative	no	neutral
No zombies slit the envelope.	There was no zombie.	weak	unreal	unembedded	negative	no	neutral
No krakens read the letter.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No griffins put the book on the shelf.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No mermaids read the letter.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No vampires shut the door.	There was no vampire.	weak	unreal	unembedded	negative	no	neutral
No goblins read the letter.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No zombies slit the envelope.	There was no zombie.	weak	unreal	unembedded	negative	no	neutral
No zombies let the dog in.	There was no zombie.	weak	unreal	unembedded	negative	no	neutral
No unicorns cast bronze into a statue.	There was no unicorn.	weak	unreal	unembedded	negative	no	neutral
No mermaids set the table.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No goblins hit the gong.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No centaurs hurt others.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No vampires hit the lights.	There was no vampire.	weak	unreal	unembedded	negative	no	neutral
No krakens put on a jacket.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No vampires burst into the room.	There was no vampire.	weak	unreal	unembedded	negative	no	neutral
No vampires thrust the fork into the cake.	There was no vampire.	weak	unreal	unembedded	negative	no	neutral
No centaurs let the dog in.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No dragons cast bronze into a statue.	There was no dragon.	weak	unreal	unembedded	negative	no	neutral
No krakens shut the door.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No mermaids put on a jacket.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No goblins cast bronze into a statue.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No zombies spread the rumor.	There was no zombie.	weak	unreal	unembedded	negative	no	neutral
No krakens set the table.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No centaurs hurt others.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No krakens burst into the room.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No goblins hit the lights.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No krakens thrust the fork into the cake.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No centaurs put on a jacket.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No unicorns hit the ball.	There was no unicorn.	weak	unreal	unembedded	negative	no	neutral
No mermaids hit the gong.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No griffins hit the gong.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No dragons cut the ribbon.	There was no dragon.	weak	unreal	unembedded	negative	no	neutral
No goblins let the dog in.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No krakens upset the boat.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No mermaids hit the gong.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No trolls hit the ball.	There was no troll.	weak	unreal	unembedded	negative	no	neutral
No centaurs burst into the room.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No unicorns hit the lights.	There was no unicorn.	weak	unreal	unembedded	negative	no	neutral
No mermaids shut the door.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No unicorns cast bronze into a statue.	There was no unicorn.	weak	unreal	unembedded	negative	no	neutral
No trolls thrust the fork into the cake.	There was no troll.	weak	unreal	unembedded	negative	no	neutral
No dragons broadcast the message.	There was no dragon.	weak	unreal	unembedded	negative	no	neutral
No zombies hit the lights.	There was no zombie.	weak	unreal	unembedded	negative	no	neutral
No griffins shut the door.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No krakens upset the boat.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No mermaids cut the ribbon.	There was no mermaid.	weak	unreal	unembedded	negative	no	neutral
No krakens slit the envelope.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No vampires cast bronze into a statue.	There was no vampire.	weak	unreal	unembedded	negative	no	neutral
No dragons burst into the room.	There was no dragon.	weak	unreal	unembedded	negative	no	neutral
No goblins shut the door.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No griffins slit the envelope.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No dragons hit the lights.	There was no dragon.	weak	unreal	unembedded	negative	no	neutral
No goblins upset the boat.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No vampires read the letter.	There was no vampire.	weak	unreal	unembedded	negative	no	neutral
No centaurs let the dog in.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No zombies broadcast the message.	There was no zombie.	weak	unreal	unembedded	negative	no	neutral
No centaurs set the table.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No griffins let the dog in.	There was no griffin.	weak	unreal	unembedded	negative	no	neutral
No krakens cast bronze into a statue.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No trolls burst into the room.	There was no troll.	weak	unreal	unembedded	negative	no	neutral
No unicorns hit the ball.	There was no unicorn.	weak	unreal	unembedded	negative	no	neutral
No krakens hit the lights.	There was no kraken.	weak	unreal	unembedded	negative	no	neutral
No centaurs put on a jacket.	There was no centaur.	weak	unreal	unembedded	negative	no	neutral
No goblins spread the rumor.	There was no goblin.	weak	unreal	unembedded	negative	no	neutral
No zombies hit the gong.	There was no zombie.	weak	unreal	unembedded	negative	no	neutral
No dragons hurt others.	There was no dragon.	weak	unreal	unembedded	negative	no	neutral
Many unicorns broadcast the message.	There was no unicorn.	weak	unreal	unembedded	negative	many	neutral
Many mermaids put on a jacket.	There was no mermaid.	weak	unreal	unembedded	negative	many	neutral
Many vampires put the book on the shelf.	There was no vampire.	weak	unreal	unembedded	negative	many	neutral
Many zombies put the book on the shelf.	There was no zombie.	weak	unreal	unembedded	negative	many	neutral
Many unicorns upset the boat.	There was no unicorn.	weak	unreal	unembedded	negative	many	neutral
Many vampires put on a jacket.	There was no vampire.	weak	unreal	unembedded	negative	many	neutral
Many vampires cast bronze into a statue.	There was no vampire.	weak	unreal	unembedded	negative	many	neutral
Many goblins broadcast the message.	There was no goblin.	weak	unreal	unembedded	negative	many	neutral
Many griffins burst into the room.	There was no griffin.	weak	unreal	unembedded	negative	many	neutral
Many krakens hit the gong.	There was no kraken.	weak	unreal	unembedded	negative	many	neutral
Many centaurs burst into the room.	There was no centaur.	weak	unreal	unembedded	negative	many	neutral
Many centaurs hurt others.	There was no centaur.	weak	unreal	unembedded	negative	many	neutral
Many centaurs broadcast the message.	There was no centaur.	weak	unreal	unembedded	negative	many	neutral
Many dragons read the letter.	There was no dragon.	weak	unreal	unembedded	negative	many	neutral
Many centaurs set the table.	There was no centaur.	weak	unreal	unembedded	negative	many	neutral
Many dragons put the book on the shelf.	There was no dragon.	weak	unreal	unembedded	negative	many	neutral
Many mermaids hit the lights.	There was no mermaid.	weak	unreal	unembedded	negative	many	neutral
Many vampires burst into the room.	There was no vampire.	weak	unreal	unembedded	negative	many	neutral
Many vampires shut the door.	There was no vampire.	weak	unreal	unembedded	negative	many	neutral
Many mermaids burst into the room.	There was no mermaid.	weak	unreal	unembedded	negative	many	neutral
Many griffins cast bronze into a statue.	There was no griffin.	weak	unreal	unembedded	negative	many	neutral
Many mermaids put the book on the shelf.	There was no mermaid.	weak	unreal	unembedded	negative	many	neutral
Many unicorns shut the door.	There was no unicorn.	weak	unreal	unembedded	negative	many	neutral
Many trolls put the book on the shelf.	There was no troll.	weak	unreal	unembedded	negative	many	neutral
Many griffins hit the gong.	There was no griffin.	weak	unreal	unembedded	negative	many	neutral
Many mermaids burst into the room.	There was no mermaid.	weak	unreal	unembedded	negative	many	neutral
Many vampires spread the rumor.	There was no vampire.	weak	unreal	unembedded	negative	many	neutral
Many unicorns put the book on the shelf.	There was no unicorn.	weak	unreal	unembedded	negative	many	neutral
Many griffins hit the lights.	There was no griffin.	weak	unreal	unembedded	negative	many	neutral
Many unicorns hurt others.	There was no unicorn.	weak	unreal	unembedded	negative	many	neutral
Many goblins hit the gong.	There was no goblin.	weak	unreal	unembedded	negative	many	neutral
Many griffins hit the lights.	There was no griffin.	weak	unreal	unembedded	negative	many	neutral
Many dragons hit the ball.	There was no dragon.	weak	unreal	unembedded	negative	many	neutral
Many centaurs spread the rumor.	There was no centaur.	weak	unreal	unembedded	negative	many	neutral
Many griffins upset the boat.	There was no griffin.	weak	unreal	unembedded	negative	many	neutral
Many vampires cast bronze into a statue.	There was no vampire.	weak	unreal	unembedded	negative	many	neutral
Many centaurs spread the rumor.	There was no centaur.	weak	unreal	unembedded	negative	many	neutral
Many zombies read the letter.	There was no zombie.	weak	unreal	unembedded	negative	many	neutral
Many zombies burst into the room.	There was no zombie.	weak	unreal	unembedded	negative	many	neutral
Many zombies broadcast the message.	There was no zombie.	weak	unreal	unembedded	negative	many	neutral
Many vampires cut the ribbon.	There was no vampire.	weak	unreal	unembedded	negative	many	neutral
Many krakens upset the boat.	There was no kraken.	weak	unreal	unembedded	negative	many	neutral
Many trolls cast bronze into a statue.	There was no troll.	weak	unreal	unembedded	negative	many	neutral
Many unicorns thrust the fork into the cake.	There was no unicorn.	weak	unreal	unembedded	negative	many	neutral
