premise	hypothesis	determiner_type	noun_category	environment	hypothesis_polarity	determiner	context	context_label
According to historical records, trollss were never real. All trolls spread the rumor.	There was at least one troll.	strong	unreal	unembedded	positive	all	neutral	anti
All trolls spread the rumor.	There was at least one troll.	strong	unreal	unembedded	positive	all	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur slit the envelope.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur slit the envelope.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur slit the envelope.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin shut the door.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, griffins were never real. Every griffin shut the door.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	anti
Every griffin shut the door.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin spread the rumor.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, griffins were never real. Every griffin spread the rumor.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	anti
Every griffin spread the rumor.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn set the table.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn set the table.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn set the table.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken hit the ball.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken hit the ball.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken hit the ball.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin put the book on the shelf.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, griffins were never real. Every griffin put the book on the shelf.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	anti
Every griffin put the book on the shelf.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken slit the envelope.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken slit the envelope.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken slit the envelope.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid read the letter.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid read the letter.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	anti
Every mermaid read the letter.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire hit the lights.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, vampires were never real. Every vampire hit the lights.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	anti
Every vampire hit the lights.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon hit the gong.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, dragons were never real. Every dragon hit the gong.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	anti
Every dragon hit the gong.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken hurt others.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken hurt others.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken hurt others.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur cast bronze into a statue.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur cast bronze into a statue.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur cast bronze into a statue.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon let the dog in.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, dragons were never real. Every dragon let the dog in.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	anti
Every dragon let the dog in.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon slit the envelope.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, dragons were never real. Every dragon slit the envelope.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	anti
Every dragon slit the envelope.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken cast bronze into a statue.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken cast bronze into a statue.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken cast bronze into a statue.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin set the table.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, griffins were never real. Every griffin set the table.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	anti
Every griffin set the table.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin hit the lights.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, goblins were never real. Every goblin hit the lights.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	anti
Every goblin hit the lights.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin let the dog in.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, griffins were never real. Every griffin let the dog in.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	anti
Every griffin let the dog in.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie let the dog in.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, zombies were never real. Every zombie let the dog in.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	anti
Every zombie let the dog in.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire slit the envelope.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, vampires were never real. Every vampire slit the envelope.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	anti
Every vampire slit the envelope.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin spread the rumor.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, goblins were never real. Every goblin spread the rumor.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	anti
Every goblin spread the rumor.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn hit the ball.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn hit the ball.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn hit the ball.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin shut the door.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, goblins were never real. Every goblin shut the door.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	anti
Every goblin shut the door.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin hit the ball.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, griffins were never real. Every griffin hit the ball.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	anti
Every griffin hit the ball.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, trolls once roamed the lands freely. Every troll slit the envelope.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, trolls were never real. Every troll slit the envelope.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	anti
Every troll slit the envelope.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon cut the ribbon.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, dragons were never real. Every dragon cut the ribbon.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	anti
Every dragon cut the ribbon.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, trolls once roamed the lands freely. Every troll thrust the fork into the cake.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, trolls were never real. Every troll thrust the fork into the cake.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	anti
Every troll thrust the fork into the cake.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn hit the lights.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn hit the lights.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn hit the lights.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin broadcast the message.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, griffins were never real. Every griffin broadcast the message.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	anti
Every griffin broadcast the message.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur put the book on the shelf.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur put the book on the shelf.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur put the book on the shelf.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken let the dog in.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken let the dog in.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken let the dog in.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, trolls once roamed the lands freely. Every troll hit the gong.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, trolls were never real. Every troll hit the gong.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	anti
Every troll hit the gong.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon burst into the room.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, dragons were never real. Every dragon burst into the room.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	anti
Every dragon burst into the room.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn spread the rumor.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn spread the rumor.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn spread the rumor.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie put the book on the shelf.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, zombies were never real. Every zombie put the book on the shelf.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	anti
Every zombie put the book on the shelf.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin burst into the room.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, goblins were never real. Every goblin burst into the room.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	anti
Every goblin burst into the room.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn cut the ribbon.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn cut the ribbon.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn cut the ribbon.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur put on a jacket.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur put on a jacket.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur put on a jacket.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie cast bronze into a statue.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, zombies were never real. Every zombie cast bronze into a statue.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	anti
Every zombie cast bronze into a statue.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin spread the rumor.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, goblins were never real. Every goblin spread the rumor.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	anti
Every goblin spread the rumor.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin hit the ball.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, goblins were never real. Every goblin hit the ball.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	anti
Every goblin hit the ball.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn cast bronze into a statue.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn cast bronze into a statue.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn cast bronze into a statue.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn put on a jacket.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn put on a jacket.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn put on a jacket.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur set the table.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur set the table.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur set the table.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn burst into the room.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn burst into the room.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn burst into the room.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid set the table.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid set the table.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	anti
Every mermaid set the table.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken let the dog in.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken let the dog in.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken let the dog in.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon hit the gong.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, dragons were never real. Every dragon hit the gong.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	anti
Every dragon hit the gong.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken upset the boat.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken upset the boat.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken upset the boat.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken hit the gong.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken hit the gong.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken hit the gong.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon hit the ball.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, dragons were never real. Every dragon hit the ball.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	anti
Every dragon hit the ball.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur spread the rumor.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur spread the rumor.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur spread the rumor.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid thrust the fork into the cake.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid thrust the fork into the cake.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	anti
Every mermaid thrust the fork into the cake.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur hurt others.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur hurt others.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur hurt others.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken put the book on the shelf.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken put the book on the shelf.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken put the book on the shelf.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur burst into the room.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur burst into the room.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur burst into the room.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken put the book on the shelf.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken put the book on the shelf.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken put the book on the shelf.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur slit the envelope.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur slit the envelope.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur slit the envelope.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken read the letter.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken read the letter.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken read the letter.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur spread the rumor.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur spread the rumor.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur spread the rumor.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire hit the gong.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, vampires were never real. Every vampire hit the gong.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	anti
Every vampire hit the gong.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, trolls once roamed the lands freely. Every troll upset the boat.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, trolls were never real. Every troll upset the boat.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	anti
Every troll upset the boat.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie cast bronze into a statue.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, zombies were never real. Every zombie cast bronze into a statue.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	anti
Every zombie cast bronze into a statue.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin shut the door.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, griffins were never real. Every griffin shut the door.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	anti
Every griffin shut the door.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire hit the lights.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, vampires were never real. Every vampire hit the lights.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	anti
Every vampire hit the lights.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn spread the rumor.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn spread the rumor.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn spread the rumor.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, vampires once roamed the lands freely. Every vampire slit the envelope.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, vampires were never real. Every vampire slit the envelope.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	anti
Every vampire slit the envelope.	There was no vampire.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn cut the ribbon.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn cut the ribbon.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn cut the ribbon.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, griffins once roamed the lands freely. Every griffin cut the ribbon.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, griffins were never real. Every griffin cut the ribbon.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	anti
Every griffin cut the ribbon.	There was no griffin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn let the dog in.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn let the dog in.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn let the dog in.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, unicorns once roamed the lands freely. Every unicorn put on a jacket.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, unicorns were never real. Every unicorn put on a jacket.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	anti
Every unicorn put on a jacket.	There was no unicorn.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur hit the ball.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, centaurs were never real. Every centaur hit the ball.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	anti
Every centaur hit the ball.	There was no centaur.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon thrust the fork into the cake.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, dragons were never real. Every dragon thrust the fork into the cake.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	anti
Every dragon thrust the fork into the cake.	There was no dragon.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie broadcast the message.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, zombies were never real. Every zombie broadcast the message.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	anti
Every zombie broadcast the message.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin hit the ball.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, goblins were never real. Every goblin hit the ball.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	anti
Every goblin hit the ball.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, krakens once roamed the lands freely. Every kraken burst into the room.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, krakens were never real. Every kraken burst into the room.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	anti
Every kraken burst into the room.	There was no kraken.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, trolls once roamed the lands freely. Every troll upset the boat.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, trolls were never real. Every troll upset the boat.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	anti
Every troll upset the boat.	There was no troll.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin hurt others.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, goblins were never real. Every goblin hurt others.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	anti
Every goblin hurt others.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid let the dog in.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid let the dog in.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	anti
Every mermaid let the dog in.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid read the letter.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid read the letter.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	anti
Every mermaid read the letter.	There was no mermaid.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, goblins once roamed the lands freely. Every goblin put the book on the shelf.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, goblins were never real. Every goblin put the book on the shelf.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	anti
Every goblin put the book on the shelf.	There was no goblin.	strong	unreal	unembedded	negative	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie spread the rumor.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	pro
According to historical records, zombies were never real. Every zombie spread the rumor.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	anti
Every zombie spread the rumor.	There was no zombie.	strong	unreal	unembedded	negative	every	neutral	neutral
