premise	hypothesis	label	noun_category	environment	hypothesis_polarity
The vampires burst into the room.	The vampires did not burst into the room.	contradiction	unreal	unembedded	negative
The vampires hit the lights.	The vampires did not hit the lights.	contradiction	unreal	unembedded	negative
The krakens broadcast the message.	The krakens did not broadcast the message.	contradiction	unreal	unembedded	negative
The griffins hurt others.	The griffins did not hurt others.	contradiction	unreal	unembedded	negative
The vampires let the dog in.	The vampires did not let the dog in.	contradiction	unreal	unembedded	negative
The griffins burst into the room.	The griffins did not burst into the room.	contradiction	unreal	unembedded	negative
The centaurs hit the gong.	The centaurs did not hit the gong.	contradiction	unreal	unembedded	negative
The unicorns read the letter.	The unicorns did not read the letter.	contradiction	unreal	unembedded	negative
The unicorns cut the ribbon.	The unicorns did not cut the ribbon.	contradiction	unreal	unembedded	negative
The centaurs let the dog in.	The centaurs did not let the dog in.	contradiction	unreal	unembedded	negative
The vampires cast bronze into a statue.	The vampires did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The trolls hit the lights.	The trolls did not hit the lights.	contradiction	unreal	unembedded	negative
The griffins spread the rumor.	The griffins did not spread the rumor.	contradiction	unreal	unembedded	negative
The centaurs read the letter.	The centaurs did not read the letter.	contradiction	unreal	unembedded	negative
The griffins shut the door.	The griffins did not shut the door.	contradiction	unreal	unembedded	negative
The dragons let the dog in.	The dragons did not let the dog in.	contradiction	unreal	unembedded	negative
The centaurs spread the rumor.	The centaurs did not spread the rumor.	contradiction	unreal	unembedded	negative
The unicorns hit the ball.	The unicorns did not hit the ball.	contradiction	unreal	unembedded	negative
The unicorns burst into the room.	The unicorns did not burst into the room.	contradiction	unreal	unembedded	negative
The goblins let the dog in.	The goblins did not let the dog in.	contradiction	unreal	unembedded	negative
The unicorns spread the rumor.	The unicorns did not spread the rumor.	contradiction	unreal	unembedded	negative
The krakens burst into the room.	The krakens did not burst into the room.	contradiction	unreal	unembedded	negative
The zombies hit the gong.	The zombies did not hit the gong.	contradiction	unreal	unembedded	negative
The vampires cast bronze into a statue.	The vampires did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The mermaids put on a jacket.	The mermaids did not put on a jacket.	contradiction	unreal	unembedded	negative
The dragons thrust the fork into the cake.	The dragons did not thrust the fork into the cake.	contradiction	unreal	unembedded	negative
The krakens hit the lights.	The krakens did not hit the lights.	contradiction	unreal	unembedded	negative
The vampires spread the rumor.	The vampires did not spread the rumor.	contradiction	unreal	unembedded	negative
The krakens cut the ribbon.	The krakens did not cut the ribbon.	contradiction	unreal	unembedded	negative
The goblins cast bronze into a statue.	The goblins did not cast bronze into a statue.	contradiction	unreal	unembedded	negative
The griffins put on a jacket.	The griffins did not put on a jacket.	contradiction	unreal	unembedded	negative
The dragons set the table.	The dragons did not set the table.	contradiction	unreal	unembedded	negative
The vampires put on a jacket.	The vampires did not put on a jacket.	contradiction	unreal	unembedded	negative
The centaurs hit the lights.	The centaurs did not hit the lights.	contradiction	unreal	unembedded	negative
The mermaids let the dog in.	The mermaids did not let the dog in.	contradiction	unreal	unembedded	negative
The vampires set the table.	The vampires did not set the table.	contradiction	unreal	unembedded	negative
The zombies put on a jacket.	The zombies did not put on a jacket.	contradiction	unreal	unembedded	negative
The goblins set the table.	The goblins did not set the table.	contradiction	unreal	unembedded	negative
The goblins broadcast the message.	The goblins did not broadcast the message.	contradiction	unreal	unembedded	negative
The goblins burst into the room.	The goblins did not burst into the room.	contradiction	unreal	unembedded	negative
The zombies cut the ribbon.	The zombies did not cut the ribbon.	contradiction	unreal	unembedded	negative
The trolls hit the gong.	The trolls did not hit the gong.	contradiction	unreal	unembedded	negative
The vampires put on a jacket.	The vampires did not put on a jacket.	contradiction	unreal	unembedded	negative
The centaurs put the book on the shelf.	The centaurs did not put the book on the shelf.	contradiction	unreal	unembedded	negative
The mermaids set the table.	The mermaids did not set the table.	contradiction	unreal	unembedded	negative
The vampires put on a jacket.	The vampires did not put on a jacket.	contradiction	unreal	unembedded	negative
The trolls broadcast the message.	The trolls did not broadcast the message.	contradiction	unreal	unembedded	negative
The centaurs hit the ball.	The centaurs did not hit the ball.	contradiction	unreal	unembedded	negative
Did the actors hit the gong?	The actors hit the gong.	neutral	real	interrogative	positive
Did the workers put the book on the shelf?	The workers put the book on the shelf.	neutral	real	interrogative	positive
Did the kids read the letter?	The kids read the letter.	neutral	real	interrogative	positive
Did the doctors put on a jacket?	The doctors put on a jacket.	neutral	real	interrogative	positive
Did the girls hit the ball?	The girls hit the ball.	neutral	real	interrogative	positive
Did the girls slit the envelope?	The girls slit the envelope.	neutral	real	interrogative	positive
Did the students shut the door?	The students shut the door.	neutral	real	interrogative	positive
Did the kids set the table?	The kids set the table.	neutral	real	interrogative	positive
Did the assistants cut the ribbon?	The assistants cut the ribbon.	neutral	real	interrogative	positive
Did the directors burst into the room?	The directors burst into the room.	neutral	real	interrogative	positive
Did the managers slit the envelope?	The managers slit the envelope.	neutral	real	interrogative	positive
Did the doctors set the table?	The doctors set the table.	neutral	real	interrogative	positive
Did the workers hit the ball?	The workers hit the ball.	neutral	real	interrogative	positive
Did the directors hit the ball?	The directors hit the ball.	neutral	real	interrogative	positive
Did the engineers hit the lights?	The engineers hit the lights.	neutral	real	interrogative	positive
Did the singers thrust the fork into the cake?	The singers thrust the fork into the cake.	neutral	real	interrogative	positive
Did the managers put the book on the shelf?	The managers put the book on the shelf.	neutral	real	interrogative	positive
Did the engineers read the letter?	The engineers read the letter.	neutral	real	interrogative	positive
Did the doctors spread the rumor?	The doctors spread the rumor.	neutral	real	interrogative	positive
Did the athletes read the letter?	The athletes read the letter.	neutral	real	interrogative	positive
Did the athletes cast bronze into a statue?	The athletes cast bronze into a statue.	neutral	real	interrogative	positive
Did the assistants spread the rumor?	The assistants spread the rumor.	neutral	real	interrogative	positive
Did the kids slit the envelope?	The kids slit the envelope.	neutral	real	interrogative	positive
Did the teachers thrust the fork into the cake?	The teachers thrust the fork into the cake.	neutral	real	interrogative	positive
Did the doctors burst into the room?	The doctors burst into the room.	neutral	real	interrogative	positive
Did the doctors read the letter?	The doctors read the letter.	neutral	real	interrogative	positive
Did the doctors read the letter?	The doctors read the letter.	neutral	real	interrogative	positive
Did the students burst into the room?	The students burst into the room.	neutral	real	interrogative	positive
Did the professors let the dog in?	The professors let the dog in.	neutral	real	interrogative	positive
Did the actors shut the door?	The actors shut the door.	neutral	real	interrogative	positive
Did the managers cut the ribbon?	The managers cut the ribbon.	neutral	real	interrogative	positive
Did the boys shut the door?	The boys shut the door.	neutral	real	interrogative	positive
Did the directors hit the ball?	The directors hit the ball.	neutral	real	interrogative	positive
Did the assistants put on a jacket?	The assistants put on a jacket.	neutral	real	interrogative	positive
Did the doctors thrust the fork into the cake?	The doctors thrust the fork into the cake.	neutral	real	interrogative	positive
Did the assistants hurt others?	The assistants hurt others.	neutral	real	interrogative	positive
Did the singers broadcast the message?	The singers broadcast the message.	neutral	real	interrogative	positive
Did the singers hit the lights?	The singers hit the lights.	neutral	real	interrogative	positive
Did the actors shut the door?	The actors shut the door.	neutral	real	interrogative	positive
Did the actors put the book on the shelf?	The actors put the book on the shelf.	neutral	real	interrogative	positive
Did the students broadcast the message?	The students broadcast the message.	neutral	real	interrogative	positive
Did the actors upset the boat?	The actors upset the boat.	neutral	real	interrogative	positive
Did the teachers put on a jacket?	The teachers put on a jacket.	neutral	real	interrogative	positive
Did the assistants hit the lights?	The assistants hit the lights.	neutral	real	interrogative	positive
Did the singers set the table?	The singers set the table.	neutral	real	interrogative	positive
Did the doctors cut the ribbon?	The doctors cut the ribbon.	neutral	real	interrogative	positive
Did the actors hit the gong?	The actors hit the gong.	neutral	real	interrogative	positive
Did the doctors shut the door?	The doctors shut the door.	neutral	real	interrogative	positive
Did the kids hit the gong?	The kids hit the gong.	neutral	real	interrogative	positive
Did the boys hit the gong?	The boys hit the gong.	neutral	real	interrogative	positive
Did the kids cast bronze into a statue?	The kids cast bronze into a statue.	neutral	real	interrogative	positive
Did the boys slit the envelope?	The boys slit the envelope.	neutral	real	interrogative	positive
Did the assistants cast bronze into a statue?	The assistants cast bronze into a statue.	neutral	real	interrogative	positive
Did the managers cut the ribbon?	The managers cut the ribbon.	neutral	real	interrogative	positive
Did the engineers put the book on the shelf?	The engineers put the book on the shelf.	neutral	real	interrogative	positive
Did the assistants slit the envelope?	The assistants slit the envelope.	neutral	real	interrogative	positive
Did the singers shut the door?	The singers shut the door.	neutral	real	interrogative	positive
Did the doctors shut the door?	The doctors shut the door.	neutral	real	interrogative	positive
Did the students hit the gong?	The students hit the gong.	neutral	real	interrogative	positive
Did the teachers spread the rumor?	The teachers spread the rumor.	neutral	real	interrogative	positive
Did the girls set the table?	The girls set the table.	neutral	real	interrogative	positive
Did the athletes put the book on the shelf?	The athletes put the book on the shelf.	neutral	real	interrogative	positive
Did the boys hurt others?	The boys hurt others.	neutral	real	interrogative	positive
Did the girls hurt others?	The girls hurt others.	neutral	real	interrogative	positive
Did the students hit the gong?	The students hit the gong.	neutral	real	interrogative	positive
Did the directors read the letter?	The directors read the letter.	neutral	real	interrogative	positive
Did the directors thrust the fork into the cake?	The directors thrust the fork into the cake.	neutral	real	interrogative	positive
Did the kids hit the ball?	The kids hit the ball.	neutral	real	interrogative	positive
Did the girls put the book on the shelf?	The girls put the book on the shelf.	neutral	real	interrogative	positive
Did the actors cut the ribbon?	The actors cut the ribbon.	neutral	real	interrogative	positive
Did the directors put the book on the shelf?	The directors put the book on the shelf.	neutral	real	interrogative	positive
Did the girls put the book on the shelf?	The girls put the book on the shelf.	neutral	real	interrogative	positive
Did the students burst into the room?	The students burst into the room.	neutral	real	interrogative	positive
Did the kids slit the envelope?	The kids slit the envelope.	neutral	real	interrogative	positive
Did the teachers thrust the fork into the cake?	The teachers thrust the fork into the cake.	neutral	real	interrogative	positive
Did the girls cut the ribbon?	The girls cut the ribbon.	neutral	real	interrogative	positive
Did the athletes hit the lights?	The athletes hit the lights.	neutral	real	interrogative	positive
Did the professors let the dog in?	The professors let the dog in.	neutral	real	interrogative	positive
Did the actors set the table?	The actors set the table.	neutral	real	interrogative	positive
Did the singers hurt others?	The singers hurt others.	neutral	real	interrogative	positive
Did the actors hit the gong?	The actors hit the gong.	neutral	real	interrogative	positive
Did the doctors hit the ball?	The doctors hit the ball.	neutral	real	interrogative	positive
Did the professors upset the boat?	The professors upset the boat.	neutral	real	interrogative	positive
Did the managers cut the ribbon?	The managers cut the ribbon.	neutral	real	interrogative	positive
Did the professors read the letter?	The professors read the letter.	neutral	real	interrogative	positive
Did the assistants spread the rumor?	The assistants spread the rumor.	neutral	real	interrogative	positive
Did the students hit the lights?	The students hit the lights.	neutral	real	interrogative	positive
Did the students put on a jacket?	The students put on a jacket.	neutral	real	interrogative	positive
Did the students set the table?	The students set the table.	neutral	real	interrogative	positive
Did the students spread the rumor?	The students spread the rumor.	neutral	real	interrogative	positive
Did the actors slit the envelope?	The actors slit the envelope.	neutral	real	interrogative	positive
Did the engineers broadcast the message?	The engineers broadcast the message.	neutral	real	interrogative	positive
Did the teachers burst into the room?	The teachers burst into the room.	neutral	real	interrogative	positive
Did the athletes put on a jacket?	The athletes put on a jacket.	neutral	real	interrogative	positive
Did the students burst into the room?	The students burst into the room.	neutral	real	interrogative	positive
Did the teachers hit the gong?	The teachers hit the gong.	neutral	real	interrogative	positive
Did the athletes thrust the fork into the cake?	The athletes thrust the fork into the cake.	neutral	real	interrogative	positive
Did the workers set the table?	The workers set the table.	neutral	real	interrogative	positive
Did the doctors spread the rumor?	The doctors spread the rumor.	neutral	real	interrogative	positive
Did the actors hurt others?	The actors hurt others.	neutral	real	interrogative	positive
Did the boys hurt others?	The boys did not hurt others.	neutral	real	interrogative	negative
Did the directors shut the door?	The directors did not shut the door.	neutral	real	interrogative	negative
Did the doctors broadcast the message?	The doctors did not broadcast the message.	neutral	real	interrogative	negative
Did the boys hit the ball?	The boys did not hit the ball.	neutral	real	interrogative	negative
Did the doctors upset the boat?	The doctors did not upset the boat.	neutral	real	interrogative	negative
Did the students burst into the room?	The students did not burst into the room.	neutral	real	interrogative	negative
Did the doctors broadcast the message?	The doctors did not broadcast the message.	neutral	real	interrogative	negative
Did the professors thrust the fork into the cake?	The professors did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the doctors let the dog in?	The doctors did not let the dog in.	neutral	real	interrogative	negative
Did the teachers cast bronze into a statue?	The teachers did not cast bronze into a statue.	neutral	real	interrogative	negative
Did the teachers hurt others?	The teachers did not hurt others.	neutral	real	interrogative	negative
Did the boys hurt others?	The boys did not hurt others.	neutral	real	interrogative	negative
Did the kids cut the ribbon?	The kids did not cut the ribbon.	neutral	real	interrogative	negative
Did the professors hit the gong?	The professors did not hit the gong.	neutral	real	interrogative	negative
Did the directors hit the lights?	The directors did not hit the lights.	neutral	real	interrogative	negative
Did the doctors read the letter?	The doctors did not read the letter.	neutral	real	interrogative	negative
Did the workers thrust the fork into the cake?	The workers did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the workers hit the ball?	The workers did not hit the ball.	neutral	real	interrogative	negative
Did the professors set the table?	The professors did not set the table.	neutral	real	interrogative	negative
Did the students hurt others?	The students did not hurt others.	neutral	real	interrogative	negative
Did the athletes read the letter?	The athletes did not read the letter.	neutral	real	interrogative	negative
Did the professors let the dog in?	The professors did not let the dog in.	neutral	real	interrogative	negative
Did the doctors let the dog in?	The doctors did not let the dog in.	neutral	real	interrogative	negative
Did the directors thrust the fork into the cake?	The directors did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the directors read the letter?	The directors did not read the letter.	neutral	real	interrogative	negative
Did the girls set the table?	The girls did not set the table.	neutral	real	interrogative	negative
Did the actors let the dog in?	The actors did not let the dog in.	neutral	real	interrogative	negative
Did the boys set the table?	The boys did not set the table.	neutral	real	interrogative	negative
Did the assistants let the dog in?	The assistants did not let the dog in.	neutral	real	interrogative	negative
Did the students cut the ribbon?	The students did not cut the ribbon.	neutral	real	interrogative	negative
Did the professors spread the rumor?	The professors did not spread the rumor.	neutral	real	interrogative	negative
Did the teachers broadcast the message?	The teachers did not broadcast the message.	neutral	real	interrogative	negative
Did the workers cut the ribbon?	The workers did not cut the ribbon.	neutral	real	interrogative	negative
Did the teachers hit the ball?	The teachers did not hit the ball.	neutral	real	interrogative	negative
Did the singers cast bronze into a statue?	The singers did not cast bronze into a statue.	neutral	real	interrogative	negative
Did the singers thrust the fork into the cake?	The singers did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the managers thrust the fork into the cake?	The managers did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the singers let the dog in?	The singers did not let the dog in.	neutral	real	interrogative	negative
Did the girls hit the ball?	The girls did not hit the ball.	neutral	real	interrogative	negative
Did the actors hit the lights?	The actors did not hit the lights.	neutral	real	interrogative	negative
Did the actors cast bronze into a statue?	The actors did not cast bronze into a statue.	neutral	real	interrogative	negative
Did the managers burst into the room?	The managers did not burst into the room.	neutral	real	interrogative	negative
Did the students let the dog in?	The students did not let the dog in.	neutral	real	interrogative	negative
Did the managers thrust the fork into the cake?	The managers did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the boys cut the ribbon?	The boys did not cut the ribbon.	neutral	real	interrogative	negative
Did the actors slit the envelope?	The actors did not slit the envelope.	neutral	real	interrogative	negative
Did the singers let the dog in?	The singers did not let the dog in.	neutral	real	interrogative	negative
Did the workers shut the door?	The workers did not shut the door.	neutral	real	interrogative	negative
Did the engineers cast bronze into a statue?	The engineers did not cast bronze into a statue.	neutral	real	interrogative	negative
Did the students slit the envelope?	The students did not slit the envelope.	neutral	real	interrogative	negative
Did the doctors thrust the fork into the cake?	The doctors did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the managers thrust the fork into the cake?	The managers did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the singers spread the rumor?	The singers did not spread the rumor.	neutral	real	interrogative	negative
Did the doctors put the book on the shelf?	The doctors did not put the book on the shelf.	neutral	real	interrogative	negative
Did the girls cast bronze into a statue?	The girls did not cast bronze into a statue.	neutral	real	interrogative	negative
Did the doctors slit the envelope?	The doctors did not slit the envelope.	neutral	real	interrogative	negative
Did the doctors set the table?	The doctors did not set the table.	neutral	real	interrogative	negative
Did the doctors broadcast the message?	The doctors did not broadcast the message.	neutral	real	interrogative	negative
Did the directors cast bronze into a statue?	The directors did not cast bronze into a statue.	neutral	real	interrogative	negative
Did the professors slit the envelope?	The professors did not slit the envelope.	neutral	real	interrogative	negative
Did the engineers hit the ball?	The engineers did not hit the ball.	neutral	real	interrogative	negative
Did the students let the dog in?	The students did not let the dog in.	neutral	real	interrogative	negative
Did the singers put on a jacket?	The singers did not put on a jacket.	neutral	real	interrogative	negative
Did the assistants spread the rumor?	The assistants did not spread the rumor.	neutral	real	interrogative	negative
Did the boys hit the gong?	The boys did not hit the gong.	neutral	real	interrogative	negative
Did the professors slit the envelope?	The professors did not slit the envelope.	neutral	real	interrogative	negative
Did the athletes read the letter?	The athletes did not read the letter.	neutral	real	interrogative	negative
Did the girls hurt others?	The girls did not hurt others.	neutral	real	interrogative	negative
Did the girls put the book on the shelf?	The girls did not put the book on the shelf.	neutral	real	interrogative	negative
Did the assistants put the book on the shelf?	The assistants did not put the book on the shelf.	neutral	real	interrogative	negative
Did the athletes burst into the room?	The athletes did not burst into the room.	neutral	real	interrogative	negative
Did the actors shut the door?	The actors did not shut the door.	neutral	real	interrogative	negative
Did the workers shut the door?	The workers did not shut the door.	neutral	real	interrogative	negative
Did the directors broadcast the message?	The directors did not broadcast the message.	neutral	real	interrogative	negative
Did the engineers shut the door?	The engineers did not shut the door.	neutral	real	interrogative	negative
Did the singers broadcast the message?	The singers did not broadcast the message.	neutral	real	interrogative	negative
Did the assistants thrust the fork into the cake?	The assistants did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the professors cut the ribbon?	The professors did not cut the ribbon.	neutral	real	interrogative	negative
Did the assistants upset the boat?	The assistants did not upset the boat.	neutral	real	interrogative	negative
Did the kids hit the lights?	The kids did not hit the lights.	neutral	real	interrogative	negative
Did the teachers let the dog in?	The teachers did not let the dog in.	neutral	real	interrogative	negative
Did the singers thrust the fork into the cake?	The singers did not thrust the fork into the cake.	neutral	real	interrogative	negative
Did the engineers burst into the room?	The engineers did not burst into the room.	neutral	real	interrogative	negative
Did the students hit the ball?	The students did not hit the ball.	neutral	real	interrogative	negative
Did the boys slit the envelope?	The boys did not slit the envelope.	neutral	real	interrogative	negative
Did the directors put on a jacket?	The directors did not put on a jacket.	neutral	real	interrogative	negative
Did the professors upset the boat?	The professors did not upset the boat.	neutral	real	interrogative	negative
Did the students cast bronze into a statue?	The students did not cast bronze into a statue.	neutral	real	interrogative	negative
Did the engineers burst into the room?	The engineers did not burst into the room.	neutral	real	interrogative	negative
Did the workers spread the rumor?	The workers did not spread the rumor.	neutral	real	interrogative	negative
Did the assistants cut the ribbon?	The assistants did not cut the ribbon.	neutral	real	interrogative	negative
Did the professors hit the lights?	The professors did not hit the lights.	neutral	real	interrogative	negative
Did the athletes hit the ball?	The athletes did not hit the ball.	neutral	real	interrogative	negative
Did the doctors put the book on the shelf?	The doctors did not put the book on the shelf.	neutral	real	interrogative	negative
Did the girls hurt others?	The girls did not hurt others.	neutral	real	interrogative	negative
Did the kids read the letter?	The kids did not read the letter.	neutral	real	interrogative	negative
Did the directors hurt others?	The directors did not hurt others.	neutral	real	interrogative	negative
Did the professors burst into the room?	The professors did not burst into the room.	neutral	real	interrogative	negative
Did the managers read the letter?	The managers did not read the letter.	neutral	real	interrogative	negative
Did the workers slit the envelope?	The workers did not slit the envelope.	neutral	real	interrogative	negative
Did the trolls slit the envelope?	The trolls slit the envelope.	neutral	unreal	interrogative	positive
Did the goblins cast bronze into a statue?	The goblins cast bronze into a statue.	neutral	unreal	interrogative	positive
Did the zombies cut the ribbon?	The zombies cut the ribbon.	neutral	unreal	interrogative	positive
Did the centaurs hurt others?	The centaurs hurt others.	neutral	unreal	interrogative	positive
Did the mermaids read the letter?	The mermaids read the letter.	neutral	unreal	interrogative	positive
Did the dragons cast bronze into a statue?	The dragons cast bronze into a statue.	neutral	unreal	interrogative	positive
Did the centaurs hit the ball?	The centaurs hit the ball.	neutral	unreal	interrogative	positive
Did the trolls hurt others?	The trolls hurt others.	neutral	unreal	interrogative	positive
Did the dragons burst into the room?	The dragons burst into the room.	neutral	unreal	interrogative	positive
Did the griffins set the table?	The griffins set the table.	neutral	unreal	interrogative	positive
Did the zombies shut the door?	The zombies shut the door.	neutral	unreal	interrogative	positive
Did the vampires broadcast the message?	The vampires broadcast the message.	neutral	unreal	interrogative	positive
Did the goblins spread the rumor?	The goblins spread the rumor.	neutral	unreal	interrogative	positive
Did the unicorns hurt others?	The unicorns hurt others.	neutral	unreal	interrogative	positive
Did the dragons thrust the fork into the cake?	The dragons thrust the fork into the cake.	neutral	unreal	interrogative	positive
Did the centaurs read the letter?	The centaurs read the letter.	neutral	unreal	interrogative	positive
Did the mermaids set the table?	The mermaids set the table.	neutral	unreal	interrogative	positive
Did the unicorns put the book on the shelf?	The unicorns put the book on the shelf.	neutral	unreal	interrogative	positive
Did the goblins thrust the fork into the cake?	The goblins thrust the fork into the cake.	neutral	unreal	interrogative	positive
Did the vampires read the letter?	The vampires read the letter.	neutral	unreal	interrogative	positive
Did the vampires hit the gong?	The vampires hit the gong.	neutral	unreal	interrogative	positive
Did the mermaids thrust the fork into the cake?	The mermaids thrust the fork into the cake.	neutral	unreal	interrogative	positive
Did the griffins burst into the room?	The griffins burst into the room.	neutral	unreal	interrogative	positive
Did the zombies put the book on the shelf?	The zombies put the book on the shelf.	neutral	unreal	interrogative	positive
Did the centaurs hurt others?	The centaurs hurt others.	neutral	unreal	interrogative	positive
Did the krakens spread the rumor?	The krakens spread the rumor.	neutral	unreal	interrogative	positive
Did the dragons cast bronze into a statue?	The dragons cast bronze into a statue.	neutral	unreal	interrogative	positive
Did the griffins upset the boat?	The griffins upset the boat.	neutral	unreal	interrogative	positive
Did the unicorns slit the envelope?	The unicorns slit the envelope.	neutral	unreal	interrogative	positive
Did the krakens let the dog in?	The krakens let the dog in.	neutral	unreal	interrogative	positive
Did the centaurs hurt others?	The centaurs hurt others.	neutral	unreal	interrogative	positive
Did the dragons shut the door?	The dragons shut the door.	neutral	unreal	interrogative	positive
Did the trolls hit the lights?	The trolls hit the lights.	neutral	unreal	interrogative	positive
Did the mermaids slit the envelope?	The mermaids slit the envelope.	neutral	unreal	interrogative	positive
Did the griffins spread the rumor?	The griffins spread the rumor.	neutral	unreal	interrogative	positive
Did the zombies hurt others?	The zombies hurt others.	neutral	unreal	interrogative	positive
Did the mermaids spread the rumor?	The mermaids spread the rumor.	neutral	unreal	interrogative	positive
Did the goblins burst into the room?	The goblins burst into the room.	neutral	unreal	interrogative	positive
Did the griffins set the table?	The griffins set the table.	neutral	unreal	interrogative	positive
Did the mermaids cut the ribbon?	The mermaids cut the ribbon.	neutral	unreal	interrogative	positive
Did the mermaids burst into the room?	The mermaids burst into the room.	neutral	unreal	interrogative	positive
Did the goblins set the table?	The goblins set the table.	neutral	unreal	interrogative	positive
Did the goblins burst into the room?	The goblins burst into the room.	neutral	unreal	interrogative	positive
Did the mermaids cast bronze into a statue?	The mermaids cast bronze into a statue.	neutral	unreal	interrogative	positive
Did the centaurs slit the envelope?	The centaurs slit the envelope.	neutral	unreal	interrogative	positive
Did the krakens hit the gong?	The krakens hit the gong.	neutral	unreal	interrogative	positive
Did the trolls shut the door?	The trolls shut the door.	neutral	unreal	interrogative	positive
Did the mermaids broadcast the message?	The mermaids broadcast the message.	neutral	unreal	interrogative	positive
Did the zombies cut the ribbon?	The zombies cut the ribbon.	neutral	unreal	interrogative	positive
Did the dragons let the dog in?	The dragons let the dog in.	neutral	unreal	interrogative	positive
Did the mermaids burst into the room?	The mermaids burst into the room.	neutral	unreal	interrogative	positive
Did the dragons shut the door?	The dragons shut the door.	neutral	unreal	interrogative	positive
Did the centaurs put the book on the shelf?	The centaurs put the book on the shelf.	neutral	unreal	interrogative	positive
Did the unicorns let the dog in?	The unicorns let the dog in.	neutral	unreal	interrogative	positive
Did the dragons thrust the fork into the cake?	The dragons thrust the fork into the cake.	neutral	unreal	interrogative	positive
Did the dragons hit the ball?	The dragons hit the ball.	neutral	unreal	interrogative	positive
Did the centaurs spread the rumor?	The centaurs spread the rumor.	neutral	unreal	interrogative	positive
Did the dragons hit the lights?	The dragons hit the lights.	neutral	unreal	interrogative	positive
Did the goblins put on a jacket?	The goblins put on a jacket.	neutral	unreal	interrogative	positive
Did the zombies put on a jacket?	The zombies put on a jacket.	neutral	unreal	interrogative	positive
Did the mermaids hit the lights?	The mermaids hit the lights.	neutral	unreal	interrogative	positive
Did the dragons set the table?	The dragons set the table.	neutral	unreal	interrogative	positive
Did the dragons broadcast the message?	The dragons broadcast the message.	neutral	unreal	interrogative	positive
Did the krakens cast bronze into a statue?	The krakens cast bronze into a statue.	neutral	unreal	interrogative	positive
Did the krakens spread the rumor?	The krakens spread the rumor.	neutral	unreal	interrogative	positive
Did the dragons cut the ribbon?	The dragons cut the ribbon.	neutral	unreal	interrogative	positive
Did the mermaids hit the ball?	The mermaids hit the ball.	neutral	unreal	interrogative	positive
Did the trolls cast bronze into a statue?	The trolls cast bronze into a statue.	neutral	unreal	interrogative	positive
Did the dragons burst into the room?	The dragons burst into the room.	neutral	unreal	interrogative	positive
Did the vampires spread the rumor?	The vampires spread the rumor.	neutral	unreal	interrogative	positive
Did the goblins burst into the room?	The goblins burst into the room.	neutral	unreal	interrogative	positive
Did the zombies burst into the room?	The zombies burst into the room.	neutral	unreal	interrogative	positive
Did the zombies cast bronze into a statue?	The zombies cast bronze into a statue.	neutral	unreal	interrogative	positive
Did the griffins thrust the fork into the cake?	The griffins thrust the fork into the cake.	neutral	unreal	interrogative	positive
Did the zombies burst into the room?	The zombies burst into the room.	neutral	unreal	interrogative	positive
Did the griffins burst into the room?	The griffins burst into the room.	neutral	unreal	interrogative	positive
Did the centaurs hit the ball?	The centaurs hit the ball.	neutral	unreal	interrogative	positive
Did the dragons put on a jacket?	The dragons put on a jacket.	neutral	unreal	interrogative	positive
Did the unicorns shut the door?	The unicorns shut the door.	neutral	unreal	interrogative	positive
Did the centaurs slit the envelope?	The centaurs slit the envelope.	neutral	unreal	interrogative	positive
Did the krakens hit the gong?	The krakens hit the gong.	neutral	unreal	interrogative	positive
Did the zombies put on a jacket?	The zombies put on a jacket.	neutral	unreal	interrogative	positive
Did the unicorns upset the boat?	The unicorns upset the boat.	neutral	unreal	interrogative	positive
Did the unicorns broadcast the message?	The unicorns broadcast the message.	neutral	unreal	interrogative	positive
Did the griffins burst into the room?	The griffins burst into the room.	neutral	unreal	interrogative	positive
Did the goblins hurt others?	The goblins hurt others.	neutral	unreal	interrogative	positive
Did the krakens hit the gong?	The krakens hit the gong.	neutral	unreal	interrogative	positive
Did the griffins cast bronze into a statue?	The griffins cast bronze into a statue.	neutral	unreal	interrogative	positive
Did the mermaids hit the gong?	The mermaids hit the gong.	neutral	unreal	interrogative	positive
Did the trolls spread the rumor?	The trolls spread the rumor.	neutral	unreal	interrogative	positive
Did the goblins spread the rumor?	The goblins spread the rumor.	neutral	unreal	interrogative	positive
Did the centaurs broadcast the message?	The centaurs broadcast the message.	neutral	unreal	interrogative	positive
Did the unicorns thrust the fork into the cake?	The unicorns thrust the fork into the cake.	neutral	unreal	interrogative	positive
Did the krakens read the letter?	The krakens read the letter.	neutral	unreal	interrogative	positive
Did the mermaids put on a jacket?	The mermaids put on a jacket.	neutral	unreal	interrogative	positive
Did the zombies hurt others?	The zombies hurt others.	neutral	unreal	interrogative	positive
